Input.Sample,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils
T004_LT_BL,0,0,0.00345925,0.043971609,0,0.209703183,3.00E-04,0,0,0,0.050471633,0.006209292,0.053040274,0.388064422,0,0.177203727,0,0,0.02955533,0,0.023118228,0.014922456
T006_LT_BL,0.001639928,0,0,0,0,0.167039582,0.014139278,0,0,0,0.017097308,0,0.146810178,0.258541099,0.022475422,0.213792821,0.007052814,0,0.033273798,0,0.098108246,0.020029527
T007_PT_BL,0,0,0.001371809,0.011034598,0,0.478177628,0.050062111,0,0,0,0.01356317,0,0,0.157872466,0.065438559,0.150412351,0.003913729,0,0.04681003,0,0.016747784,0.004595766
T009_PT_BL,0,0,0.002551835,0,0,0.058997739,0,0.003337364,0,0,0,0.046642891,0,0.056148875,0.032177516,0.011033651,0,0.020104961,0,0.207608615,0.177690009,0.383706544
T010_PT_BL,0,0,0.00285002,0,0,0.1135624,0,0,0,0,0.011612024,0,0,0.220368751,0.023762695,0.107467613,0,0,0,0.080235504,0.180469188,0.259671806
T011_PT_BL,0,0,0,0.010653943,0,0.122515814,0.021649038,0,0,0.004902442,0,0.008407979,0,0.100190593,0.06457021,0.282001091,0.003644181,0,0.047641846,0,0.135969282,0.197853582
T013_PT_BL,0,0,0,0,0.006768259,0.130814397,0.004727909,0,0,0,0.015632879,0,0.203765605,0.237227206,0.023164078,0.269677277,0.002695318,0,0.038813531,0,0.065053434,0.001660107
T014_PT_BL,0,0,0,0.006549524,0,0.088301248,0.017175876,0,0,0,0.001870935,0,0.116063518,0.257081993,0.037849006,0.281954401,0.00413279,0,0.068410486,0,0.114212957,0.006397267
T015_PT_BL,0.003495516,0,0,0,0,0.146919227,0.001160514,0,0,0,0.009034574,0,0,0.473780374,0.031669001,0.143851975,0.005753436,0,0.036138146,0,0.115927896,0.032269342
T016_LT_BL,0,0,0,0.038562954,0,0.164795244,0.015329863,0,0,0,0.035368519,0,0,0.325087758,0.021347557,0.171302862,0.009934612,0,0.022713551,0,0.102257756,0.093299325
T025_PT_BL,0.001617139,0,0,0.002371805,0,0.094757472,0.011308601,0,0,0,0.008624762,1.00E-04,0.144911163,0.378519737,0.032159759,0.178163789,0.002914412,0,0.059307641,0,0.073810722,0.011462367
T026_PT_BL,0.008649124,0,0,0.030677133,0,0.097519982,0,0,0,0,0.020839178,0.010020072,0.095652456,0.442459065,0.027004695,0.169269408,0.008269269,0,0.031654244,0,0.052499528,0.005485845
T030_PT_BL,0.005646334,0,0,0.016482136,0,0.162264619,0.017083332,0,0,0,0.011655367,3.00E-04,0.073749706,0.325808293,0.048689344,0.188871036,0.003970959,0,0.001866051,0,0.086121221,0.057530442
T031_PT_BL,0,0,0,0,0,0.141157875,0.009005365,0,0,0,0.038190064,0,0.124422057,0.271506605,0.043050699,0.200439827,0,0,0.037211675,0,0.118746208,0.016269627
T032_PT_BL,0.001443797,0,0,0.063622889,0,0.118398718,0.020108604,0,0,0,0.029617538,0.00543489,0.187848624,0.24596984,0.019308927,0.176153254,0.004004478,0,0.051664413,0,0.046194646,0.030229382
T033_PT_BL,0,0,0,0,0,0.088496228,0.012819108,0,0,0,0,0.009805021,0.134335196,0.296856671,0.041897512,0.23002766,0.00927854,0,0.076992644,0,0.093945335,0.005546084
T034_PT_BL,0,0,0,0.001683392,0,0.064803581,0.010655618,0,0,0,0.009844362,0,0.179504325,0.353277589,0.016415393,0.12421126,0,0,0.063737716,0,0.165038664,0.010828099
T035_SI_BL,0.002018545,0,4.00E-04,0.026454658,0,0.20682346,0.006664865,0,0,0,0,0.00657028,0,0.186175464,0.005590704,0.20819342,0,0.017752104,0.006644404,0,0.15758028,0.169150813
T038_PT_BL,0.004520492,0,0,0.104962544,0,0.150790822,0.037173047,0,0,0.00712727,0.011749312,0,0.114889189,0.226980587,0.057401082,0.147873158,0,0,0.023812764,0,0.100468492,0.01225124
T039_PT_BL,5.00E-04,0,0,0,1.00E-04,0.055067159,0.012981494,0,0,0,0.007196888,0,0.217783861,0.261178264,0.018513643,0.282515925,0,0,0.057584915,0,0.070451127,0.016031555
T042_LT_BL,0,0.058957781,0,0.026754612,0,0.125680934,0.020247238,0,0,0,0.007009228,0.00635029,0.118169621,0.280903606,0.005473324,0.194157013,0.008177821,0,0.026370218,0,0.112670352,0.009077961
T045_PT_BL,0.00229788,0,0,0.011645187,0,0.07838121,0.010336957,0,0,0,0,0.032736682,0.162243407,0.307167145,0.055899203,0.137241009,0.006833585,0,0.083326975,0,0.074168257,0.037722505
T046_PT_BL,2.00E-04,0.006871878,0,0.032733505,0,0.12544346,0.011562286,7.00E-04,0,0,8.00E-04,0.022926084,0.118852805,0.232525071,0.002081854,0.21785324,0.00660144,0,0.060992686,0,0.131468265,0.028438373
T047_PT_BL,0,0,0,0.002744409,0,0.051034617,0.004999877,0,0,0,0,0.012015594,0.099607379,0.352236887,0.028386147,0.162876485,0.006746537,0,0.069427059,0,0.203555546,0.006369463
T048_PT_BL,0,0,0,0,0,0.083605457,0.011021679,0,0,0,0.022260463,0,0.093396489,0.428679992,0.018973136,0.166864482,0,0,0.031228616,0,0.137282679,0.006687007
T049_RT_BL,0.002481207,0,9.00E-04,7.00E-04,0,0.098981272,0.013638985,0,0,0,0.026093404,0,0.160339307,0.364562513,0.016595612,0.202431351,0.001622645,0,0.033094258,0,0.057101492,0.021489165
T050_RT_BL,0,0,0,0,0,0.06879062,0.007889784,0,0,0,0,0.009343178,0.087379738,0.299338747,0.037345054,0.229234129,0.003161228,0,0.039562249,0,0.123163054,0.09479222
T051_RT_BL,0,0,0,0,0,0.075613423,0.015933958,0,0,0,0,0.002414477,0.159330598,0.152676122,0.027802942,0.347934627,0.009900575,0,0.074093182,0,0.118398738,0.015901358
T052_RT_BL,0,0,0.003039806,0,0,0.128390217,0.053598682,0,0,0,0.021321961,0.006696804,0.116125468,0.156510204,0.233129695,0.035676174,0,0.035572967,0.086511315,0,0.117261016,0.00616569
T053_RT_BL,9.00E-04,0,0,0,0,0.195978275,0.017063032,0,0,0,0.031393174,0,0.098799935,0.330681522,0.022795498,0.140037526,0.00442381,0,0.044669771,0,0.100301554,0.013003178
T054_RT_BL,0.002511312,0.004046288,0,0.033028502,0,0.116873596,0,0,0,0,0.010278523,0.005443741,0.055137146,0.458682768,0.008363605,0.155679612,0,0,0.026644244,0,0.09194918,0.03134232
